orders_date,orders_id,customer_id
2024-07-04,1,10
2025-01-23,2,196
2025-01-15,3,192
2024-09-16,4,338
2024-10-28,5,66
2024-09-22,6,343
2024-07-23,7,264
2024-06-16,8,180
2024-12-30,9,66
2025-01-12,10,145
2024-04-22,11,240
2025-04-01,12,187
2025-02-05,13,61
2025-03-20,14,6
2025-02-13,15,311
2025-03-29,16,311
2024-05-31,17,284
2025-02-16,18,147
2024-10-02,19,310
2024-07-13,20,100
2024-06-27,21,243
2025-02-26,22,147
2025-01-15,23,129
2024-11-07,24,315
2024-10-17,25,318
2024-05-09,26,266
2024-11-22,27,283
2024-07-25,28,212
2025-04-11,29,297
2025-03-15,30,163
2024-06-06,31,119
2024-10-14,32,184
2024-06-10,33,70
2025-02-25,34,161
2024-10-17,35,187
2025-01-04,36,363
2024-11-12,37,79
2024-11-23,38,278
2024-12-07,39,254
2024-08-21,40,210
2025-02-07,41,242
2025-04-01,42,135
2024-10-08,43,388
2024-12-13,44,257
2025-03-02,45,102
2025-01-24,46,393
2025-04-01,47,397
2024-11-02,48,214
2024-10-02,49,137
2025-03-08,50,387
2025-04-07,51,268
2024-11-18,52,393
2024-10-10,53,385
2025-04-03,54,352
2024-06-20,55,355
2025-02-02,56,163
2025-03-20,57,272
2024-10-21,58,110
2024-10-11,59,365
2024-07-29,60,375
2025-02-05,61,275
2024-07-25,62,116
2025-03-12,63,400
2024-12-23,64,110
2024-08-05,65,235
2025-02-11,66,122
2025-02-16,67,252
2024-11-08,68,204
2024-10-25,69,18
2024-12-19,70,76
2024-07-21,71,51
2024-08-04,72,329
2024-10-07,73,203
2024-05-20,74,375
2025-01-22,75,326
2024-08-08,76,22
2024-07-20,77,147
2024-08-03,78,214
2024-08-28,79,154
2024-08-22,80,249
2025-04-01,81,347
2024-11-15,82,371
2024-05-21,83,158
2024-06-12,84,100
2024-06-17,85,14
2024-07-18,86,274
2024-09-15,87,322
2025-01-14,88,112
2024-06-18,89,391
2025-01-19,90,84
2024-07-12,91,129
2024-05-14,92,344
2024-09-28,93,124
2024-09-25,94,35
2024-08-26,95,312
2024-11-16,96,134
2024-10-17,97,109
2024-09-28,98,9
2024-05-14,99,209
2024-07-09,100,214
2025-03-09,101,107
2024-09-30,102,327
2024-09-18,103,388
2025-04-06,104,281
2025-02-12,105,306
2024-12-02,106,153
2025-01-15,107,186
2024-04-27,108,340
2025-03-18,109,24
2025-03-28,110,305
2025-02-11,111,226
2024-11-29,112,335
2024-09-14,113,22
2024-10-22,114,20
2024-04-22,115,191
2024-09-03,116,18
2024-08-13,117,283
2025-02-06,118,343
2024-09-18,119,340
2025-03-17,120,123
2025-04-01,121,38
2025-03-10,122,210
2024-09-29,123,87
2024-11-15,124,378
2025-02-04,125,71
2025-01-30,126,291
2024-11-18,127,86
2025-02-24,128,157
2024-12-10,129,223
2025-04-03,130,185
2024-07-14,131,244
2024-10-26,132,100
2024-07-14,133,297
2024-08-03,134,75
2024-10-06,135,237
2024-10-25,136,50
2024-05-01,137,243
2024-09-18,138,397
2024-08-28,139,127
2025-01-04,140,264
2025-01-08,141,378
2025-02-23,142,232
2024-09-24,143,175
2025-01-26,144,296
2024-06-23,145,241
2025-03-12,146,135
2024-10-18,147,239
2025-04-12,148,203
2024-06-08,149,316
2024-12-17,150,89
2024-11-13,151,227
2024-04-30,152,343
2025-04-07,153,329
2024-09-20,154,24
2024-12-05,155,328
2024-11-25,156,264
2025-01-02,157,165
2024-04-30,158,286
2024-05-22,159,361
2024-12-25,160,341
2024-10-03,161,114
2024-06-11,162,139
2025-03-22,163,99
2024-10-16,164,399
2024-06-29,165,179
2024-05-09,166,49
2024-07-30,167,314
2024-09-14,168,305
2024-08-25,169,245
2024-07-11,170,231
2024-10-13,171,279
2024-08-24,172,325
2024-08-29,173,65
2025-02-09,174,268
2025-03-27,175,45
2024-09-14,176,65
2024-08-06,177,255
2025-02-06,178,295
2025-03-09,179,171
2024-09-30,180,253
2024-07-26,181,337
2025-03-10,182,114
2024-05-21,183,380
2024-10-19,184,337
2024-04-27,185,119
2025-02-04,186,316
2024-11-15,187,211
2024-05-10,188,306
2024-09-02,189,247
2024-07-16,190,81
2024-12-28,191,112
2024-05-16,192,298
2025-02-17,193,252
2024-12-29,194,24
2024-05-05,195,264
2025-02-06,196,180
2024-05-02,197,129
2024-07-25,198,262
2024-07-06,199,105
2025-03-11,200,45
2024-04-27,201,231
2024-12-17,202,261
2024-06-18,203,77
2024-07-21,204,311
2024-06-08,205,11
2024-10-20,206,252
2025-01-04,207,112
2024-06-03,208,161
2024-11-25,209,380
2024-07-13,210,63
2024-10-17,211,160
2025-01-16,212,189
2024-07-28,213,89
2025-02-11,214,364
2024-09-10,215,96
